epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,946.342,1.49932,8.66361,1.1421,0.02221,0.12801,0.02578,0.01373,1.65851,3.59601,1.25755,0.00332985,0.00332985,0.00332985
2,1853.95,1.58643,5.31369,1.17749,0.01684,0.12624,0.02399,0.01317,1.94547,4.05739,1.48696,0.00659721,0.00659721,0.00659721
3,2748.22,1.74551,3.04849,1.3022,0.4039,0.01963,0.01216,0.00628,2.31913,4.30216,1.8055,0.00979858,0.00979858,0.00979858
4,3660.77,1.79196,2.53355,1.44995,0.09827,0.14374,0.027,0.01445,1.89604,3.4804,1.65316,0.009703,0.009703,0.009703
5,4585.74,1.57277,2.15385,1.34621,0.50731,0.03345,0.0366,0.01843,1.8182,3.4817,1.56228,0.009604,0.009604,0.009604
6,5500.89,1.43596,1.94415,1.27015,0.507,0.04946,0.04236,0.02242,1.79241,3.02287,1.52983,0.009505,0.009505,0.009505
7,6417.65,1.34501,1.80514,1.2302,0.40793,0.07288,0.05396,0.03067,1.66721,2.88919,1.4612,0.009406,0.009406,0.009406
8,7357.34,1.29703,1.73055,1.22186,0.45008,0.08592,0.05323,0.03025,1.64123,2.7734,1.44847,0.009307,0.009307,0.009307
9,8238.92,1.25591,1.65991,1.18984,0.45927,0.08331,0.06164,0.03457,1.62373,2.72025,1.4366,0.009208,0.009208,0.009208
10,9148.3,1.22308,1.60565,1.18054,0.39336,0.08439,0.07128,0.04081,1.56783,2.66121,1.38863,0.009109,0.009109,0.009109
11,10055.2,1.18956,1.55802,1.15869,0.36416,0.09893,0.07107,0.0415,1.50445,2.52732,1.3479,0.00901,0.00901,0.00901
12,10983.2,1.17986,1.53497,1.15046,0.368,0.1093,0.07623,0.04531,1.48004,2.46288,1.34575,0.008911,0.008911,0.008911
13,11892.4,1.13578,1.5061,1.14291,0.37208,0.10735,0.08303,0.04831,1.47306,2.4516,1.31996,0.008812,0.008812,0.008812
14,12797.2,1.10934,1.44881,1.12144,0.41259,0.12328,0.08989,0.05383,1.46853,2.38349,1.33703,0.008713,0.008713,0.008713
15,13706.8,1.11678,1.45303,1.12447,0.35492,0.12697,0.09189,0.05449,1.44054,2.38916,1.30477,0.008614,0.008614,0.008614
16,14617.4,1.08725,1.41665,1.11461,0.38796,0.12405,0.10089,0.06024,1.42075,2.29651,1.28797,0.008515,0.008515,0.008515
17,15512.4,1.07128,1.38591,1.10211,0.419,0.13432,0.09952,0.0604,1.42519,2.27246,1.29235,0.008416,0.008416,0.008416
18,16437.7,1.06544,1.38399,1.09509,0.41411,0.1384,0.10758,0.06559,1.38669,2.23606,1.27147,0.008317,0.008317,0.008317
19,17328.3,1.04082,1.3541,1.09023,0.39854,0.14706,0.11312,0.06898,1.36455,2.18583,1.26115,0.008218,0.008218,0.008218
20,18226.1,1.03174,1.34665,1.09366,0.36344,0.1522,0.11533,0.07215,1.35027,2.17272,1.2555,0.008119,0.008119,0.008119
21,19104.2,1.02774,1.34169,1.08436,0.35265,0.1564,0.11866,0.07424,1.34406,2.16214,1.25305,0.00802,0.00802,0.00802
22,19997.7,0.99923,1.30948,1.07317,0.38248,0.16023,0.12461,0.07795,1.34583,2.15637,1.24104,0.007921,0.007921,0.007921
23,20908.7,1.00882,1.30738,1.07816,0.40566,0.15385,0.12818,0.08068,1.32204,2.15241,1.23768,0.007822,0.007822,0.007822
24,21819.8,0.98723,1.28277,1.06788,0.3969,0.16391,0.13028,0.08236,1.31642,2.12071,1.23682,0.007723,0.007723,0.007723
25,22705.2,0.9759,1.2602,1.06741,0.43945,0.16796,0.13632,0.08472,1.32035,2.10516,1.23426,0.007624,0.007624,0.007624
26,23599.4,0.98392,1.27009,1.06842,0.42452,0.16824,0.13755,0.08494,1.30895,2.07939,1.22739,0.007525,0.007525,0.007525
27,24509.2,0.97586,1.25486,1.06036,0.40174,0.17671,0.13724,0.08491,1.3072,2.07994,1.22152,0.007426,0.007426,0.007426
28,25438.8,0.97202,1.25961,1.06536,0.4217,0.17948,0.13842,0.08576,1.3034,2.07111,1.22294,0.007327,0.007327,0.007327
29,26345.3,0.95019,1.22843,1.05112,0.42728,0.18027,0.1405,0.08753,1.2934,2.05689,1.21414,0.007228,0.007228,0.007228
30,27245.4,0.94952,1.22407,1.0502,0.43022,0.18204,0.14355,0.08975,1.29033,2.05121,1.2115,0.007129,0.007129,0.007129
31,28134.1,0.92945,1.20813,1.04853,0.42857,0.1853,0.14635,0.09203,1.28562,2.03807,1.21111,0.00703,0.00703,0.00703
32,29074,0.91861,1.18672,1.04196,0.41433,0.17601,0.14746,0.09299,1.28097,2.02718,1.21001,0.006931,0.006931,0.006931
33,30003,0.92218,1.19738,1.0406,0.41668,0.18198,0.14979,0.09491,1.27486,2.02366,1.20771,0.006832,0.006832,0.006832
34,30909.6,0.92742,1.18879,1.04131,0.41624,0.18538,0.15101,0.09656,1.27162,2.01575,1.20618,0.006733,0.006733,0.006733
35,31812.7,0.91065,1.1703,1.03294,0.41553,0.1874,0.15275,0.09791,1.27126,2.00981,1.20477,0.006634,0.006634,0.006634
36,33104.2,0.90955,1.18321,1.036,0.39689,0.19253,0.15321,0.09823,1.26919,2.00626,1.20345,0.006535,0.006535,0.006535
37,34022.7,0.9017,1.16983,1.03663,0.39415,0.19502,0.15397,0.09906,1.26856,2.0047,1.2027,0.006436,0.006436,0.006436
38,35279,0.9071,1.16308,1.03637,0.42354,0.18522,0.15457,0.0992,1.26695,2.00366,1.20204,0.006337,0.006337,0.006337
39,36555.1,0.87709,1.12651,1.02381,0.42836,0.18479,0.15647,0.10022,1.26415,1.99893,1.20054,0.006238,0.006238,0.006238
